Words,Sum of Weight
Words,97
Black ,44
Blue ,5
Brown ,3
Dark red ,0
Gray ,3
Green ,10
Orange ,3
Red ,23
Yellow ,6
Abortion,99
Black ,24
Blue ,6
Dark red ,3
Gray ,4
Pink ,3
Red ,50
White ,5
Yellow ,4
Abuse,100
Black ,39
Blue ,4
Gray ,4
Purple ,2
Red ,48
White ,3
Achievement,100
Blue ,27
Gold ,27
Green ,6
Purple ,3
Red ,16
White ,5
Yellow ,16
Admired,99
Black ,2
Blue ,14
Green ,2
Light cyan ,3
Orange ,4
Pink ,13.5
Red ,42.5
Silver ,2
White ,4
Yellow ,12
Adorable,99
Blue ,11.5
Brown ,2
Green ,4
Pink ,49
Purple ,3
Red ,21.5
Tan ,2
Yellow ,6
Affection,100
Blue ,8
Gold ,2
Light blue ,3
Pink ,28
Purple ,3
Red ,48
Yellow ,8
Afraid,99.5
Black ,51
Blue ,10
Brown ,2
Dark Blue ,2
Green ,3
Red ,27.5
Yellow ,4
Agony,100
Black ,48.5
Blue ,4
Brown ,8
Gray ,3
Orange ,3
Red ,31.5
Silver ,2
Angry,99
Black ,14
Brown ,2
Orange ,3
Red ,78
Yellow ,2
Anguished,99
Black ,13.5
Blue ,16
Gray ,16.5
Green ,9.5
Orange ,2
Red ,37.5
White ,4
Aroused,98
Black ,3
Brown ,2
Green ,3
Pink ,11.5
Red ,66
White ,5
Yellow ,7.5
Astonished,100.5
Baby Blue ,3
Black ,3
Blue ,11
Chartreuse ,2
Cream/ivory ,2
Green ,6
Orange ,9
Purple ,2
Red ,18
White ,21
Yellow ,23.5
Baby,99.5
Black ,4
Blue ,19.5
Brown ,2
Green ,3
Peach ,6
Pink ,38
White ,20.5
Yellow ,6.5
Beautiful,99
Black ,5
Blue ,20
Brown ,4
Green ,4
Pink ,35
Purple ,8
Red ,6
Sky blue ,2
White ,6
Yellow ,9
Bees,99
Yellow ,99
Birthday,100
Black ,3
Blue ,23.5
Green ,5
Orange ,2
Pink ,20.5
Purple ,4
Red ,15.5
White ,7
Yellow ,19.5
Bloody,98
Red ,96
Wine red ,2
Bouquet,98
Blue ,5
Green ,8
Pink ,21.5
Purple ,3
Red ,46.5
White ,8
Yellow ,6
Brave,100
Black ,4
Blue ,28
Bronze ,2
Brown ,5
Gold ,8
Orange ,2
Purple ,3
Red ,36
Silver ,4
White ,3
Yellow ,5
Burial,100
Black ,46.5
Brown ,41.5
Dark brown ,2
Gray ,8
Red ,2
Cancer,99
Black ,33
Blue ,4
Brown ,4.5
Gray ,3
Orange ,3
Pink ,20.5
Red ,19.5
White ,6.5
Yellow ,5
Cash,98
Black ,2
Gray ,3
Green ,93
Cemetery,98
Black ,54.5
Brown ,2
Gray ,32.5
Green ,3
White ,6
Champion,99.5
Black ,2
Blue ,12
Gold ,36.5
Purple ,2
Red ,21.5
White ,4
Yellow ,21.5
Cheer,98.5
Blue ,11
Green ,3
