Word,Color
Afraid,Black 
Agony,Black 
Angry,Red 
Anguished,Red 
Contempt,Red 
Cruel,Red 
Depressed,Blue 
Discouraged,Blue 
Disgusted,Green 
Dreadful,Black 
Embarrassed,Red 
Enraged,Red 
Fear,Red 
Frustrated,Red 
Guilty,Red 
Helpless,Black 
Hostile,Red 
Jealousy,Green 
Lonely,Blue 
Mad,Red 
Misery,Black 
Moody,Blue 
Nervous,Red 
Panic,Red 
Rage,Red 
Regretful,Red 
Sad,Blue 
Scared,Red 
Shamed,Red 
Suspicious,Red 
Tense,Red 
Terrified,Red 
Troubled,Red 
Unhappy,Blue 
Upset,Blue 
Abduction,Black 
Abortion,Red 
Abuse,Red 
Bees,Yellow 
Bloody,Red 
Burial,Black 
Cancer,Black 
Cemetery,Black 
Coffin,Brown 
Corpse,Black 
Crash,Red 
Criminal,Black 
Crisis,Red 
Danger,Red 
Dead,Black 
Death,Black 
Demon,Red 
Disaster,Black 
Divorce,Black 
Funeral,Black 
Gun,Black 
Hell,Red 
Illness,Green 
Infection,Red 
Injury,Red 
Insult,Red 
Jail,Gray 
Killer,Red 
Lie,Black 
Massacre,Red 
Morbid,Black 
Nightmare,Black 
Pain,Red 
Poison,Black 
Pollute,Gray 
Poverty,Black 
Punishment,Red 
Rape,Red 
Robber,Black 
Sick,Green 
Sickness,Green 
Slave,Black 
Suicide,Red 
Tomb,Black 
Toothache,White 
Tornado,Gray 
Tragedy,Red 
Trash,Black 
Trauma,Red 
Ugly,Brown 
Ulcer,Red 
Unfaithful,Black 
Victim,Red 
Violent,Red 
War,Red 
Admired,Red 
Affection,Red 
Aroused,Red 
Astonished,Yellow 
Beautiful,Pink 
Brave,Red 
Cheer,Yellow 
Confident,Red 
Elated,Yellow 
Friendly,Yellow 
Grateful,Blue 
Happy,Yellow 
Hopeful,Blue 
Inspired,Yellow 
Joy,Yellow 
Joyful,Yellow 
Kind,Yellow 
Love,Red 
Lust,Red 
Merry,Red 
Nice,Yellow 
Passion,Red 
Proud,Blue 
Relaxed,Blue 
Safe,White 
Satisfied,Blue 
Secure,Blue 
Surprised,Red 
Triumphant,Yellow 
Achievement,Blue 
Adorable,Pink 
Baby,Pink 
Birthday,Blue 
Bouquet,Red 
Cash,Green 
Champion,Gold 
Church,White 
Diamond,White 
Diploma,White 
Engaged,White 
Freedom,White 
Friend,Yellow 
Gift,Blue 
God,White 
Grin,White 
Heaven,White 
Holiday,Red 
Jewel,Red 
Joke,Yellow 
Kiss,Red 
Laughter,Yellow 
Lucky,Green 
Millionaire,Green 
Miracle,White 
Money,Green 
Outdoors,Green 
Peace,White 
Pretty,Pink 
Rescue,Red 
Riches,Green 
Romantic,Red 
Thrill,Red 
Treasure,Gold 
Triumph,Yellow 
Trophy,Gold 
Vacation,Blue 
Victory,Red 
Waterfall,Blue 
Wedding,White 
Wish,White 
